"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","member_casual"
"BE6D32CCD2C8C9BA","classic_bike",2022-03-28 18:20:59,2022-03-28 18:20:59,"Franklin St & Lake St","TA1307000111","Franklin St & Lake St","TA1307000111","casual"
"ED243C51D5046FEA","electric_bike",2022-03-20 15:09:31,2022-03-20 15:09:31,"Montrose Harbor","TA1308000012","Montrose Harbor","TA1308000012","member"
"8D4DB330D85196A4","electric_bike",2022-03-05 14:26:44,2022-03-05 14:26:44,"Clark St & Lake St","KA1503000012","Clark St & Lake St","KA1503000012","casual"
"BEB930450FDB0247","electric_bike",2022-03-23 07:29:19,2022-03-23 07:29:19,"Green St & Madison St","TA1307000120","Green St & Madison St","TA1307000120","member"
"C902FD2CAD5AB02E","classic_bike",2022-03-21 18:02:25,2022-03-21 18:02:25,"Dearborn St & Erie St","13045","Dearborn St & Erie St","13045","member"
"F75D445DEF201005","electric_bike",2022-03-20 20:28:48,2022-03-20 20:28:48,"Southport Ave & Roscoe St","13071","Southport Ave & Roscoe St","13071","member"
"336E8FE03E1A80F9","docked_bike",2022-03-05 16:09:15,2022-03-05 16:09:15,"Streeter Dr & Grand Ave","13022","Streeter Dr & Grand Ave","13022","casual"
"62895829137A01A8","electric_bike",2022-03-20 09:11:15,2022-03-20 09:11:15,"Wells St & Huron St","TA1306000012","Wells St & Huron St","TA1306000012","member"
"3F9746C96CA1F772","electric_bike",2022-03-22 20:34:20,2022-03-22 20:34:20,"Wells St & Polk St","SL-011",NA,NA,"member"
"58DEE051AFD8D939","electric_bike",2022-03-17 16:09:26,2022-03-17 16:09:26,"Paulina St & Flournoy St","KA1504000104","Paulina St & Flournoy St","KA1504000104","member"
"2D97E3C98E165D80","classic_bike",2022-03-05 11:00:57,2022-03-05 10:55:01,"DuSable Lake Shore Dr & Wellington Ave","TA1307000041","DuSable Lake Shore Dr & Wellington Ave","TA1307000041","casual"
"7407049C5D89A13D","electric_bike",2022-03-05 11:38:04,2022-03-05 11:37:57,"Sheffield Ave & Wellington Ave","TA1307000052","Sheffield Ave & Wellington Ave","TA1307000052","casual"
"71C0088C275924DC","electric_bike",2022-03-06 15:18:59,2022-03-06 15:18:59,"University Library (NU)","605",NA,NA,"member"
